"year","location","plot","replicate","trt","crops","legume_inclusion","n_fertilizer","grain_yield","iwg_straw_yield","legume_biomass","plant_height","lodging_score","NO3_mean_mgL","n_raw_readings","n_bdl_readings","pct_bdl_readings","any_bdl","majority_bdl","vwc_50cm","vwc_100cm","NO3_N_ppm_0_6","NO3_N_ppm_6_18","NO3_N_ppm_18_30","NH4_N_ppm_0_6","NH4_N_ppm_6_18","NH4_N_ppm_18_30","LOI_OM_pct_0_6","LOI_OM_pct_6_18","LOI_OM_pct_18_30","TOC_pct_0_6","TOC_pct_6_18","TOC_pct_18_30"
2014,"Waseca",1416,4,21,"TLI",0,0,NA,4224,NA,123,2,0.099,5,3,60,1,1,NA,NA,2,1,1,5,2,NA,4.7,NA,NA,NA,NA,NA
2014,"Waseca",1421,4,23,"TLI",0,120,116,9018,NA,140,5,0.141,5,3,60,1,1,0.2622,0.287,1.5,1,1,5,3,NA,4.3,NA,NA,NA,NA,NA
2015,"Lamberton",2106,1,25,"TLI/leg",1,40,221.666,9928,556,148,3,0.208875,8,5,62.5,1,1,0.1594,0.1281,1.46,0.05,0.28,2.13,1.35,2.3,3.5,2.4,1.2,1.463,1.049,1.243
2015,"Lamberton",2111,1,23,"TLI",0,120,61.918,9272,NA,123,5,0.51425,8,2,25,1,0,0.1427,0.1338,9.05,0.98,0.27,5.76,4.42,2.51,3.6,2.4,1.4,1.6025,0.809,1.502
2015,"Lamberton",2116,1,22,"TLI",0,60,231.24,9300,NA,133,4,0.637333333333333,3,1,33.3,1,0,0.1381,0.1438,8.45,1.13,0.22,8.15,5.23,4.48,3.6,2.5,1.4,1.583,0.877,1.695
2015,"Lamberton",2121,1,21,"TLI",0,0,89.054,5168,NA,138,1,0.312857142857143,7,2,28.6,1,0,NA,NA,5.94,1.06,0.31,6.11,4.66,3.66,3.4,2.7,1.7,1.586,1.002,0.681
2015,"Lamberton",2203,2,22,"TLI",0,60,212.504,10864,NA,153,5,0.431555555555556,9,7,77.8,1,1,0.2571,0.2275,NA,0.72,0.23,NA,3.02,3.02,NA,2.4,1.3,NA,0.875,2.325
2015,"Lamberton",2213,2,23,"TLI",0,120,267.786,8432,NA,135,5,2.22814285714286,7,1,14.3,1,0,0.1648,0.1592,10.5,0.99,0.31,11.28,3.28,3.82,4.2,3,1.6,2.144,1.3005,1.2035
2015,"Lamberton",2218,2,25,"TLI/leg",1,40,107.548,9320,209,149,4,0.875142857142857,7,2,28.6,1,0,0.2044,0.2248,10.12,0.68,0.73,7.53,3.83,4.37,4.2,2.9,1.6,1.94,1.238,0.649
2015,"Lamberton",2223,2,21,"TLI",0,0,81.48,4888,NA,137,1,1.39655555555556,9,2,22.2,1,0,NA,NA,6.88,1.62,0.45,5.08,3.55,4.13,4.2,3.1,1.8,2.122,1.2275,0.585
2015,"Lamberton",2304,3,23,"TLI",0,120,97.942,9132,NA,155,5,0.6015,4,0,0,0,0,0.3316,0.3343,9.17,1.74,0.75,7.95,3.66,2.82,4.2,2.9,1.5,1.926,1.198,1.996
2015,"Lamberton",2309,3,25,"TLI/leg",1,40,126.4,6200,358,137,3,0.24375,8,2,25,1,0,0.3279,0.3569,12.99,2.21,0.77,6.27,4.86,3.86,4.5,3.3,1.6,2.054,1.381,1.0995
2015,"Lamberton",2319,3,22,"TLI",0,60,23.004,9364,NA,143,4,0.228111111111111,9,6,66.7,1,1,0.3177,0.2957,8.57,2.48,0.76,5.68,4,3.91,4.7,3.3,1.8,2.03,1.406,0.601
2015,"Lamberton",2324,3,21,"TLI",0,0,58.584,4784,NA,129,0,1.556,7,2,28.6,1,0,NA,NA,12.19,3.52,1.14,9.45,4.09,3.76,4.7,3.3,1.8,2.35,1.489,1.245
2015,"Lamberton",2407,4,21,"TLI",0,0,25.56,4452,NA,125,1,0.591,8,1,12.5,1,0,NA,NA,8.38,3.37,1.12,5.72,4.45,2.03,4.4,2.7,1.3,2.026,1.294,0.777
2015,"Lamberton",2412,4,25,"TLI/leg",1,40,66.464,6996,168,137,3,0.295555555555556,9,6,66.7,1,1,0.2717,0.252,13.04,7.64,1.33,7.53,5.07,2.27,4.9,2.1,1.3,2.314,0.926,0.532
2015,"Lamberton",2417,4,22,"TLI",0,60,17.156,8760,NA,142,6,0.32,9,6,66.7,1,1,0.292,0.2517,10.7,3.8,1.05,7.27,3.72,2.75,5,3.2,1,2.366,1.621,0.552
2015,"Lamberton",2422,4,23,"TLI",0,120,30.818,7692,NA,136,6,0.578777777777778,9,3,33.3,1,0,0.3611,0.3012,12.96,4.94,1.26,6.18,5.76,2.81,4.9,3.3,1.4,2.54,1.498,0.776
2015,"Waseca",1105,1,22,"TLI",0,60,122.792,8172,NA,136,5,0.05,10,10,100,1,1,0.3661,0.1651,9,3.71,2.44,4.59,4.95,3.23,5.4,3.5,2.3,2.597,1.841,1.041
2015,"Waseca",1110,1,25,"TLI/leg",1,40,285.258,7536,66,147,3,0.0653,10,8,80,1,1,0.2998,0.2092,12.14,3.9,2.76,5.51,4.36,3.75,5.4,3.3,2.4,2.69,1.797,1.25
2015,"Waseca",1115,1,23,"TLI",0,120,44.126,5088,NA,146,6,0.2739,10,6,60,1,1,0.2211,0.2361,17.85,4.45,2.77,4.5,4.85,4.11,5.2,3.4,2.3,2.522,1.67,0.75
2015,"Waseca",1125,1,21,"TLI",0,0,17.472,NA,NA,121,0,0.067625,8,6,75,1,1,NA,NA,6.09,3.05,2.73,4.4,4.13,4.78,5.2,2.9,2.6,2.774,1.314,1.0615
2015,"Waseca",1202,2,25,"TLI/leg",1,40,56.242,10690,0,147,3,0.248,10,5,50,1,0,0.2776,0.2127,9.72,3.19,1.6,5.32,3.46,3.98,5.2,3.5,1.8,2.439,1.372,1.291
2015,"Waseca",1207,2,22,"TLI",0,60,134.594,7700,NA,140,3,0.0946666666666667,9,8,88.9,1,1,0.2498,0.1585,10.93,4.05,1.85,5.15,4.5,3.95,5.7,3.9,2.1,2.7,1.597,0.883
2015,"Waseca",1217,2,21,"TLI",0,0,38.418,6060,NA,119,0,0.665222222222222,9,7,77.8,1,1,NA,NA,6.73,3.36,1.84,6,4.45,3.12,5.6,3.4,1.7,2.885,1.35,0.737
2015,"Waseca",1222,2,23,"TLI",0,120,179.872,NA,NA,140,5,0.546666666666667,6,3,50,1,0,0.2126,0.1776,23.44,3.28,1.75,12.19,4.89,3.07,6.2,3.2,1.7,3.038,1.119,0.506
2015,"Waseca",1303,3,23,"TLI",0,120,430.664,9444,NA,163,7,0.2095,10,7,70,1,1,0.3041,0.2844,22.435,6.08,2.06,4.16,4.13,3.03,6.1,4,1.9,2.824,1.515,0.677
2015,"Waseca",1308,3,22,"TLI",0,60,84.222,NA,NA,140,5,0.235,10,6,60,1,1,0.2701,0.266,20.56,2.42,1.26,6.84,3.26,2.69,6.3,3.8,1.8,3.041,1.42,0.336
2015,"Waseca",1313,3,21,"TLI",0,0,20.316,4244,NA,111,0,0.343333333333333,6,4,66.7,1,1,NA,NA,11.13,4.76,1.83,5.68,3.71,2.09,5.7,4,2.1,2.705,1.712,0.699
2015,"Waseca",1323,3,25,"TLI/leg",1,40,149.222,13062,36,140,3,0.1146,10,7,70,1,1,0.3603,0.2172,NA,3.91,1.1,NA,3.29,2.49,NA,3.4,1.8,NA,1.18,0.708
2015,"Waseca",1401,4,25,"TLI/leg",1,40,215.046,11002,52,140,5,0.403,10,4,40,1,0,0.2597,0.314,11.81,3.03,0.88,5.64,3.43,2.87,6.6,3.5,1.9,3.196,1.331,0.432
2015,"Waseca",1411,4,22,"TLI",0,60,371.082,11156,NA,140,7,0.0691,10,9,90,1,1,0.3041,0.3332,10.05,4.44,5.31,4.99,3.06,4.2,5.3,3.3,2.8,2.616,1.564,1.884
2015,"Waseca",1416,4,21,"TLI",0,0,52.4,4616,NA,112,0,0.05,10,10,100,1,1,NA,NA,12.54,2.37,0.39,6.54,3,3.85,5.4,2.6,1.3,2.679,1.222,1.808
2015,"Waseca",1421,4,23,"TLI",0,120,344.626,11392,NA,153,4,0.0973,10,8,80,1,1,0.2956,0.3597,14.97,3.39,1.16,5.49,3.57,3.53,5.6,3,1.5,2.5705,1.152,0.628
