"year","location","plot","replicate","trt","depth","vwc","plot_in_block","block"
"2015","Lamberton",2203,2,"60 kg N","50cm depth",0.2571,3,"Block 2"
"2015","Lamberton",2203,2,"60 kg N","100cm depth",0.2275,3,"Block 2"
"2015","Lamberton",2213,2,"120 kg N","50cm depth",0.1648,13,"Block 2"
"2015","Lamberton",2213,2,"120 kg N","100cm depth",0.1592,13,"Block 2"
"2015","Lamberton",2218,2,"Kernza/Alfalfa 40 kg N","50cm depth",0.2044,18,"Block 2"
"2015","Lamberton",2218,2,"Kernza/Alfalfa 40 kg N","100cm depth",0.2248,18,"Block 2"
"2015","Lamberton",2223,2,"0 kg N","50cm depth",NA,23,"Block 2"
"2015","Lamberton",2223,2,"0 kg N","100cm depth",NA,23,"Block 2"
"2015","Lamberton",2304,3,"120 kg N","50cm depth",0.3316,4,"Block 3"
"2015","Lamberton",2304,3,"120 kg N","100cm depth",0.3343,4,"Block 3"
"2015","Lamberton",2309,3,"Kernza/Alfalfa 40 kg N","50cm depth",0.3279,9,"Block 3"
"2015","Lamberton",2309,3,"Kernza/Alfalfa 40 kg N","100cm depth",0.3569,9,"Block 3"
"2015","Lamberton",2319,3,"60 kg N","50cm depth",0.3177,19,"Block 3"
"2015","Lamberton",2319,3,"60 kg N","100cm depth",0.2957,19,"Block 3"
"2015","Lamberton",2324,3,"0 kg N","50cm depth",NA,24,"Block 3"
"2015","Lamberton",2324,3,"0 kg N","100cm depth",NA,24,"Block 3"
"2015","Lamberton",2407,4,"0 kg N","50cm depth",NA,7,"Block 4"
"2015","Lamberton",2407,4,"0 kg N","100cm depth",NA,7,"Block 4"
"2015","Lamberton",2412,4,"Kernza/Alfalfa 40 kg N","50cm depth",0.2717,12,"Block 4"
"2015","Lamberton",2412,4,"Kernza/Alfalfa 40 kg N","100cm depth",0.252,12,"Block 4"
"2015","Lamberton",2417,4,"60 kg N","50cm depth",0.292,17,"Block 4"
"2015","Lamberton",2417,4,"60 kg N","100cm depth",0.2517,17,"Block 4"
"2015","Lamberton",2422,4,"120 kg N","50cm depth",0.3611,22,"Block 4"
"2015","Lamberton",2422,4,"120 kg N","100cm depth",0.3012,22,"Block 4"
"2015","Waseca",1105,1,"60 kg N","50cm depth",0.3661,5,"Block 1"
"2015","Waseca",1105,1,"60 kg N","100cm depth",0.1651,5,"Block 1"
"2015","Waseca",1110,1,"Kernza/Alfalfa 40 kg N","50cm depth",0.2998,10,"Block 1"
"2015","Waseca",1110,1,"Kernza/Alfalfa 40 kg N","100cm depth",0.2092,10,"Block 1"
"2015","Waseca",1115,1,"120 kg N","50cm depth",0.2211,15,"Block 1"
"2015","Waseca",1115,1,"120 kg N","100cm depth",0.2361,15,"Block 1"
"2015","Waseca",1125,1,"0 kg N","50cm depth",NA,25,"Block 1"
"2015","Waseca",1125,1,"0 kg N","100cm depth",NA,25,"Block 1"
"2015","Waseca",1202,2,"Kernza/Alfalfa 40 kg N","50cm depth",0.2776,2,"Block 2"
"2015","Waseca",1202,2,"Kernza/Alfalfa 40 kg N","100cm depth",0.2127,2,"Block 2"
"2015","Waseca",1207,2,"60 kg N","50cm depth",0.2498,7,"Block 2"
"2015","Waseca",1207,2,"60 kg N","100cm depth",0.1585,7,"Block 2"
"2015","Waseca",1217,2,"0 kg N","50cm depth",NA,17,"Block 2"
"2015","Waseca",1217,2,"0 kg N","100cm depth",NA,17,"Block 2"
"2015","Waseca",1222,2,"120 kg N","50cm depth",0.2126,22,"Block 2"
"2015","Waseca",1222,2,"120 kg N","100cm depth",0.1776,22,"Block 2"
"2015","Waseca",1303,3,"120 kg N","50cm depth",0.3041,3,"Block 3"
"2015","Waseca",1303,3,"120 kg N","100cm depth",0.2844,3,"Block 3"
"2015","Waseca",1308,3,"60 kg N","50cm depth",0.2701,8,"Block 3"
"2015","Waseca",1308,3,"60 kg N","100cm depth",0.266,8,"Block 3"
"2015","Waseca",1313,3,"0 kg N","50cm depth",NA,13,"Block 3"
"2015","Waseca",1313,3,"0 kg N","100cm depth",NA,13,"Block 3"
"2015","Waseca",1323,3,"Kernza/Alfalfa 40 kg N","50cm depth",0.3603,23,"Block 3"
"2015","Waseca",1323,3,"Kernza/Alfalfa 40 kg N","100cm depth",0.2172,23,"Block 3"
"2015","Waseca",1401,4,"Kernza/Alfalfa 40 kg N","50cm depth",0.2597,1,"Block 4"
"2015","Waseca",1401,4,"Kernza/Alfalfa 40 kg N","100cm depth",0.314,1,"Block 4"
"2015","Waseca",1411,4,"60 kg N","50cm depth",0.3041,11,"Block 4"
"2015","Waseca",1411,4,"60 kg N","100cm depth",0.3332,11,"Block 4"
"2015","Waseca",1416,4,"0 kg N","50cm depth",NA,16,"Block 4"
"2015","Waseca",1416,4,"0 kg N","100cm depth",NA,16,"Block 4"
"2015","Waseca",1421,4,"120 kg N","50cm depth",0.2956,21,"Block 4"
"2015","Waseca",1421,4,"120 kg N","100cm depth",0.3597,21,"Block 4"
