year,location,plot,replicate,trt,crops,legume_inclusion,n_fertilizer,grain_yield,iwg_straw_yield,legume_biomass,plant_height,lodging_score,NO3_mean,NO3_full_mean,NO3_half_mean,NO3_zero_mean,vwc_50cm,vwc_100cm,LOI_OM_pct_0_6,LOI_OM_pct_18_30,LOI_OM_pct_6_18,NH4_N_ppm_0_6,NH4_N_ppm_18_30,NH4_N_ppm_6_18,NO3_N_ppm_0_6,NO3_N_ppm_18_30,NO3_N_ppm_6_18,TOC_pct_0_6,TOC_pct_18_30,TOC_pct_6_18
2014,Waseca,1421,4,23,TLI,0,120,116,9018,,140,5,0.111,0.111,0.111,0.111,0.26220717,0.287024528,4.3,,,5,,3,1.5,1,1,,,
2015,Waseca,1421,4,23,TLI,0,120,344.626,11392,,153,4,0.0989,0.1339,0.0989,0.0639,0.295579808,0.359654615,5.6,1.5,3,5.49,3.53,3.57,14.97,1.16,3.39,2.5705,0.628,1.152
2014,Lamberton,2106,1,25,TLI/leg,1,40,424,10034,38,146,2,0.2812,0.2812,0.2812,0.2812,0.17682,0.154686842,3.2,,,4,,3,0.5,1,1,,,
2015,Lamberton,2106,1,25,TLI/leg,1,40,221.666,9928,556,148,3,0.21325,0.232,0.21325,0.1945,0.159448913,0.128089091,3.5,1.2,2.4,2.13,2.3,1.35,1.46,0.28,0.05,1.463,1.243,1.049
2014,Lamberton,2111,1,23,TLI,0,120,264,10102,,122,3,2.8876,2.8876,2.8876,2.8876,0.189875439,0.14555,3.1,,,7,,4,0.5,1,1,,,
2015,Lamberton,2111,1,23,TLI,0,120,61.918,9272,,123,5,0.51425,0.52675,0.51425,0.50175,0.142697679,0.1337808,3.6,1.4,2.4,5.76,2.51,4.42,9.05,0.27,0.98,1.6025,1.502,0.809
2014,Lamberton,2116,1,22,TLI,0,60,272,11182,,130,2,3.3772,3.3772,3.3772,3.3772,0.179131404,0.155110526,3,,,3,,1,0.5,1,1,,,
2015,Lamberton,2116,1,22,TLI,0,60,231.24,9300,,133,4,0.637333333,0.654,0.637333333,0.620666667,0.138113519,0.143781429,3.6,1.4,2.5,8.15,4.48,5.23,8.45,0.22,1.13,1.583,1.695,0.877
2014,Lamberton,2121,1,21,TLI,0,0,88,5390,,134,2,0.4362,0.4362,0.4362,0.4362,,,3.3,,,4,,4,1.5,1,1,,,
2015,Lamberton,2121,1,21,TLI,0,0,89.054,5168,,138,1,0.312857143,0.327142857,0.312857143,0.298571429,,,3.4,1.7,2.7,6.11,3.66,4.66,5.94,0.31,1.06,1.586,0.681,1.002
